GEO_ID,NAME,S1701_C01_001E,S1701_C01_001M,% Under 18 In Poverty
51680,"Lynchburg city, Virginia",68869,14683,21.3201876
51683,"Manassas city, Virginia",42459,11218,26.4207824
51685,"Manassas Park city, Virginia",16946,4186,24.70199457
51690,"Martinsville city, Virginia",13060,3384,25.91117917
51700,"Newport News city, Virginia",176740,42772,24.20052054
51710,"Norfolk city, Virginia",212572,46216,21.74133941
51720,"Norton city, Virginia",3642,643,17.65513454
51730,"Petersburg city, Virginia",32792,7134,21.75530617
51735,"Poquoson city, Virginia",12332,2681,21.74018813
51740,"Portsmouth city, Virginia",93571,22288,23.81934574
51750,"Radford city, Virginia",13340,1801,13.50074963
51760,"Richmond city, Virginia",216341,38228,17.67025206
51770,"Roanoke city, Virginia",98079,21964,22.39419244
51775,"Salem city, Virginia",22834,4702,20.5920995
51790,"Staunton city, Virginia",24080,4745,19.7051495
51800,"Suffolk city, Virginia",92611,22174,23.9431601
51810,"Virginia Beach city, Virginia",447604,100324,22.41356199
51820,"Waynesboro city, Virginia",21863,4878,22.31166812
51830,"Williamsburg city, Virginia",10687,1617,15.13053242
51840,"Winchester city, Virginia",27162,6298,23.1868051
